run,shown_words,recalled_words,correct_count,missed_count
1,"red,tree,day,boat,milk,farm,king,queen","red,tree,king,queen,boat,time,kill",5,3
2,"band,star,fire,drum,salt,wind,roof,port","band,star,fire,drum,salt,wind,roof",7,1
3,"book,wolf,park,walk,wall,cool,cake,farm","book,wolf,cool,cake,farm",5,3
4,"gold,farm,home,pen,salt,star,hill,horn","gold,farm,hill,salt,home,pen",6,2
5,"snow,port,girl,cat,fire,word,gray,game","snow,port,girl,cat,fire,word,grey,game",7,1
6,"walk,port,wind,sun,hand,raft,song,bike","walk,port,snow,sun,hand,raft,bike",6,2
7,"hour,blue,farm,queen,bike,cake,song,lord","blue,hour,farm,queen,cake,sun,bike",6,2
8,"book,rain,ball,band,boy,time,run,hill","book,rain,ball,band,boy,hill",6,2
9,"fire,meat,egg,sand,time,star,moon,red","meat,fire,egg,sand,time,star,moon,red",8,0
10,"bell,swim,year,star,fish,coin,note,lamp","bell,swim,year,star,note,fish",6,2
11,"wolf,nose,day,week,meat,cold,time,ball","wolf,nose,day,week,meat,cold,time,ball",8,0
12,"year,week,door,gray,roof,ship,walk,sand","year,week,door,roof,gray,ship,salt",6,2
13,"ball,wolf,cake,salt,room,star,play,wood","ball,wolf,cake,salt,room,star",6,2
14,"eyes,queen,rice,bean,ball,band,pink,gold","eyes,queen,rice,bean,ball,pink,band,gold",8,0
15,"hill,room,green,queen,horn,bear,sand,day","room,hill,queen,green,bear,sand,horn",7,1
16,"day,roof,bird,bear,rock,shop,horn,heat","day,roof,bird,bear,shop,horn,stone",6,2
17,"snow,sun,fire,wolf,king,pen,eyes,day","snow,fire,sun,wolf,king,pen,eyes,day",8,0
18,"road,cool,ship,green,word,park,wind,cold","cool,road,green,ship,word,park,wind",7,1
19,"boy,hot,farm,boat,foot,hill,city,bird","hot,boy,farm,foot,ship,hill,city",6,2
20,"cake,run,corn,swim,play,cat,bean,nose","bean,corn,cake,swim,run,cat,play,nose",8,0
