run,shown_words,recalled_words,correct_count,missed_count
1,"wolf,food,dock,coin,town,milk,shop,boy","boy,wolf,dock,coin,food,town,milk,shop",8,0
2,"drum,swim,band,gift,note,play,room,bean","swim,drum,band,gift,note,play,room,beans",7,1
3,"boat,dock,dog,raft,bike,car,bird,farm","farm,boat,dock,dog,raft,bird,bike",7,1
4,"cake,day,time,nose,card,word,run,city","cake,day,time,nose,card,word,city",7,1
5,"king,wolf,tree,pink,cat,road,shop,word","word,shop,road,king,tree,pink,wolf,cat",8,0
6,"word,lion,warm,cake,gold,boy,park,fish","word,lion,warm,cake,word,lion,warm,cake,gold,word,lion,warm,vake,gold,boy,word,ion,warm,game,cold,boy,fish,cake,warm,lion,gold,boy,word,cake",7,1
7,"home,road,cake,park,rice,gift,bean,run","homeroadhome,road,cakehome,road,cake,park,home,road,caekhomehome,road,cake,rice,park,gidt,runhome,cake,park,rice,run,gold,kid",6,2
8,"dock,lord,cake,corn,word,note,boat,bell","dock,lord,cake,corn,word,note,bell,boat",8,0
9,"card,bell,town,roof,home,shop,road,bird","bell,card,bird,road,town,shop,roof",7,1
10,"swim,blue,play,bird,road,page,star,farm","bird,page,star,farm,blue,swim,road",7,1
11,"sun,gray,face,food,blue,foot,park,tree","sun,gray,face,blue,foot,food,park,tree",8,0
12,"horn,bell,room,drum,rice,ball,warm,corn","drum,corn,warm,room,rice,ball",6,2
13,"swim,eyes,sky,face,run,bear,king,city","swim,eyes,sky,face,bear,king,city",7,1
14,"swim,face,salt,lord,book,road,pen,rock","swim,face,salt,lordswim,face,salt,lord,book,swim,face,lord,swim,face,salt,lord,swim,face,salt,torck,book,lord,pen,rock",7,1
15,"door,bear,soup,room,rock,boy,year,warm","door,bearsoupdoor,besr,soup,room,door,beadoor,bear,soup,room,rock,boy,warm",7,1
16,"word,moon,note,heat,shop,hill,warm,gift","word,word,moon",2,6
17,"bear,rain,room,horn,sand,run,week,road","road,week,run,rain,room,sand",6,8
18,"walk,cold,boy,room,run,song,bear,horn","",0,8
19,"hand,sun,note,fire,bird,heat,face,horn","horn,bird,sun,fire,heat,face,note",7,1
20,"ship,star,pen,page,home,city,wall,pink","wall,pink,ship,pen,star,page,home",7,1
