run,shown_words,recalled_words,correct_count,missed_count
1,"star,cold,boy,corn,pen,rock,page,wall","boy,star,cold,corn,pen,rock",6,2
2,"town,tree,room,meat,eyes,book,coin,wood","room,wood",2,6
3,"song,tree,warm,farm,shop,foot,week,book","song,week,warm,farm,book",5,3
4,"boy,corn,page,red,cool,gray,dock,sand","sand,dock,boy,book,wall,red",4,4
5,"green,play,snow,foot,time,heat,cool,fire","green,play,snow,foot,heat,corn",5,3
6,"salt,tree,hill,lamp,sand,card,play,milk","sand,card,tree,hill,cold",4,4
7,"port,lamp,ship,girl,green,fire,sand,hand","port,land,green,fire,sand,girl",5,3
8,"hill,band,drum,rain,lamp,year,cool,bird","hill,band,lamp,year,camp",4,4
9,"lord,boy,wind,fish,swim,door,eyes,boat","swim,fish,boy,lord,door,wind",6,2
10,"roof,bean,soup,bike,band,town,gift,road","gift,soup,bean,bike,road,roof",6,2
11,"eyes,bell,sun,song,play,girl,snow,corn","sun,song,bell,girl,eyes",5,3
12,"year,wall,snow,gold,girl,park,star,queen","[cgirl,queen,snow",2,6
13,"time,eyes,gold,queen,dock,snow,foot,pen","gold,queen,foot,snow,dock,time,year",6,2
14,"girl,run,boy,dog,warm,ship,rice,bean","boy,girl,dog,warm,ship,rice,run",7,1
15,"corn,gift,cool,moon,day,blue,green,rain","blue,green,rain,cool,moon",5,3
16,"nose,gift,heat,cat,park,coin,boat,blue","cat,blue,park,coin",4,4
17,"bean,wolf,wind,raft,cat,cool,snow,milk","wolf,cat,wind,snow,raft,bean,cool",7,1
18,"bean,wood,ball,cat,cold,shop,blue,salt","blue,salt,shop,cat,bean,wood,cold",7,1
19,"star,rice,cake,fire,run,cold,wood,note","wood,fire,cold,rice,cake,star,run",7,1
20,"rice,door,meat,drum,hot,fire,snow,star","drum,door,cold,fire,warm,star,rice,meat",6,2
