run,shown_words,recalled_words,correct_count,missed_count
1,"play,lamp,drum,rain,snow,band,milk,boat","drum,band,snow,milk,boat",5,3
2,"boat,walk,meat,town,coin,hill,wood,door","wood,door,coin,hill,boat,walk,meat,town",8,0
3,"room,ring,star,ship,corn,boy,hour,gray","gray,hour,star,ship,room,ring,corn,boy",8,0
4,"shop,time,lord,moon,cold,hand,raft,wall","raft,wall,moon,lord,cold,hand",6,2
5,"tree,king,car,boy,ball,moon,cold,red","cold,red,car,boy,tree,king,ball,moon",8,0
6,"gray,face,hot,warm,hour,book,gift,home","gift,home,hour,book,gray,face",6,2
7,"bean,coin,swim,gift,soup,salt,green,star","star,green,soup,salt,swim,bean,gift",7,1
8,"week,word,coin,cold,gray,star,book,food","book,food,gray,star",4,4
9,"rain,blue,wood,play,queen,salt,sky,home","sky,home,wood,play,blue,rain,queen,salt",8,0
10,"bean,fire,meat,salt,tree,food,cool,dog","cool,dog,meat,salt,bean,fire,tree",7,1
11,"fire,rice,time,song,play,door,wall,bike","wall,bike,rice,play,door",5,3
12,"ship,ball,green,gold,rain,farm,wind,hand","wind,hand,rain,farm",4,4
13,"lamp,ball,year,car,pen,roof,bear,nose","bear,nose,lamp,ball,pen,roof",6,2
14,"card,swim,sky,eyes,boy,snow,city,year","city,year,sky,eyes,snow,boy",6,2
15,"ship,page,wind,port,green,fire,ring,shop","ring,shop,green,fire,ship,card,wind,port",7,1
16,"warm,play,card,ship,pen,sky,queen,bird","sky,pen,queen,bird,warm,play,ship,card",8,0
17,"bell,home,bean,year,roof,drum,ship,boat","ship,boat,year,bean,bell,home,roof",7,1
18,"home,boy,roof,run,coin,year,pink,nose","pink,nose,home,boy,coin,year,roof,run",8,0
19,"port,queen,bean,fire,horn,game,band,book","band,book,queen,fire,bean",5,3
20,"day,hour,eyes,lion,room,warm,year,rice","year,rice,lion,eyes,room,warm",6,2
