run,shown_words,recalled_words,correct_count,missed_count
1,"eyes,note,game,nose,dock,run,shop,lion","note,game,nose,dock,lion,shock",5,3
2,"dog,pen,door,hour,sky,bird,farm,hill","dog,pen,dorr,hour,sky,pen,farm,pill",5,3
3,"raft,star,blue,word,farm,game,boy,book","raft,star,farm,game,boy,book,blue,hill",7,1
4,"swim,card,play,note,queen,year,star,farm","swim,play,note,queen,star,farm",6,2
5,"warm,star,meat,cool,lion,town,bike,book","warm,star,meat,cool,lion,town,book",7,1
6,"gift,heat,star,rain,milk,dock,sand,green","gift,hill,star,rain,milk,heat,sand,rain",6,2
7,"ship,king,bear,door,bean,star,wood,hand","ship,king,bear,door,bean,star,wood,hand",8,0
8,"bird,drum,swim,girl,rice,home,sand,fish","bbird,drum,swim,home,gril,sand,drill",4,4
9,"road,salt,milk,face,book,lion,eyes,girl","road,salt,milk,face,book,lion,ice,gril",6,2
10,"city,bell,rain,ship,wolf,gray,king,salt","city,bell,road,salt,rain,king,roof",5,3
11,"food,sky,coin,egg,room,door,lamp,eyes","food,sky,coin,egg,wood,door,lamp,eyes",7,1
12,"fish,wall,dock,wind,snow,moon,wood,shop","wind,snow,wood,moon,shop",5,3
13,"sun,eyes,rice,word,star,raft,meat,boy","sun,eyes,rice,word,star,raft,meat,boy",8,0
14,"lion,week,run,cake,sand,eyes,ball,bear","lion,week,wall,cake,sand,eyes,ball,bear",7,1
15,"star,queen,ball,foot,cold,roof,horn,dock","star,queen,ball,foot,cold,roof,horn,dock",8,0
16,"red,girl,cool,raft,ship,lamp,hill,warm","red,girl,cool,raft,ship,lamp,hill,warm",8,0
17,"pink,dock,egg,rain,swim,star,park,face","park,face,egg,dock,swim,star",6,2
18,"boy,heat,nose,rain,hill,game,warm,bell","boy,heat,nose,game,bell,heat,rain",6,2
19,"lamp,home,road,rice,snow,wood,soup,week","lamp,home,rice,soup,week",5,3
20,"milk,shop,coin,sand,rain,park,hill,ring","milk,shop,park,sand,hill,rain",6,2
