run,shown_words,recalled_words,correct_count,missed_count
1,"cold,rain,town,wolf,queen,corn,song,rock","cold,rain,town,wold,queen,song,corn,rock",7,1
2,"raft,meat,foot,snow,run,shop,port,card","foot,raft,shop,meat,snow,run",6,2
3,"king,gray,hand,town,sand,fish,word,farm","gray,hand,king,sand,town,fish,word,farm",8,0
4,"bear,page,heat,blue,farm,dock,cold,cool","cold,cool,blue,page,bear,burn,dock,farm",7,1
5,"rock,dock,home,warm,bean,food,red,salt","salt,red,bean,home,dock,rock,warm,food",8,0
6,"rice,cold,gold,game,ring,girl,bell,boy","gold,girl,ring,game,boy,cold,rice",7,1
7,"page,foot,car,red,hand,note,moon,cool","cool,moon,page,foot,hand,note,car,red",8,0
8,"soup,rice,week,pen,wall,bike,cake,girl","girl,cake,bike,pen,rice,soup",6,2
9,"blue,walk,day,king,raft,sky,sand,lord","king,lord,sand,blue,day,walk,sky",7,1
10,"moon,week,rock,sky,fire,bear,wood,frog","bear,frog,wood,fire,moon,cool",5,3
11,"sky,sun,queen,door,gift,word,hour,boat","queen,door,gift,word,hour,boat",6,2
12,"corn,lion,bean,cool,star,milk,heat,bell","bell,star,warm,bean,corn,lion",5,3
13,"shop,lamp,book,word,wood,fish,gift,coin","lamp,shop,book,gift,coin,fish,wood",7,1
14,"wall,fire,port,home,star,wolf,swim,book","book,wall,fire,port,star,swim,wolf",7,1
15,"door,hour,sun,egg,green,wolf,lion,card","green,card,eggs,wolf,lion,sun,door",6,2
16,"roof,port,ring,king,song,page,green,ball","roof,port,green,ring,king,page",6,2
17,"note,eyes,hot,wood,bird,run,city,ring","note,hot,eyes,wood,bird,run,city,ring",8,0
18,"run,moon,sun,door,red,coin,bear,rock","bear,rock,moon,coin",4,4
19,"wolf,swim,star,road,run,star,game,fish","fish,star,star,game,wolf,run,swim",6,1
20,"milk,bike,hour,cool,year,ship,car,band","band,bike,hour,cool,milk,year,ship",7,1
