run,shown_words,recalled_words,correct_count,missed_count
1,"sun,fire,cat,road,port,pink,sand,hand","port,pink,sun,fire,cat,road,hand",7,1
2,"song,hot,wood,coin,play,gray,wolf,eyes","wolf,eyes,play,gray,sun,wood,fire",5,3
3,"coin,bird,bean,game,face,wolf,salt,egg","wolf,salt,bird,game,bean",5,3
4,"port,card,horn,room,song,boy,wood,play","wood,play,horn,room,song",5,3
5,"run,boy,cold,star,wind,tree,book,book","book,book,wind,tree,wood",3,4
6,"farm,sky,boat,fire,car,egg,eyes,star","car,egg,sun,book,fire",3,5
7,"eyes,roof,wind,tree,town,queen,foot,hill","wind,tree,town,queen,hill,roof",6,2
8,"jump,coin,green,band,bean,heat,wolf,hand","wolf,hand,bean,heat,green,band,queen",6,2
9,"cool,green,dock,farm,pink,lamp,queen,rice","queen,rice,cool,green,deep,dock",5,3
10,"dog,wolf,band,lord,card,green,salt,gold","green,salt,gold,lord,band",5,3
11,"ring,lamp,play,girl,farm,soup,pink,bell","pink,bell,ring,band,play",4,4
12,"farm,nose,room,gold,food,port,girl,lord","girl,lord,farm,nose,band",4,4
13,"park,book,green,book,boy,drum,rice,sand","rice,sand,park,boy,green,book,dark",6,1
14,"town,lord,day,home,hot,meat,nose,year","day,room,hot,meat,nose,year",5,3
15,"cold,lion,hour,cake,ball,bird,day,cat","cake,ball,bird,day,cat,lion,hot",6,2
16,"city,car,drum,hand,dog,wolf,park,gift","wolf,park,gift,hand",4,4
17,"rice,wall,moon,bike,nose,day,soup,park","soup,park,nose,day,rice,wall,room",6,2
18,"egg,rice,wall,hour,book,star,cold,roof","hour,book,star,cold,roof,day",5,3
19,"book,cool,play,game,bean,wall,hand,port","hand,port,bean,wall,game,play",6,2
20,"tree,park,girl,gold,song,town,card,nose","town,card,nose,cool,girl,play,nice",4,4
