run,shown_words,recalled_words,correct_count,missed_count
1,"tree,king,book,raft,ball,coin,band,dock","band,dock,tree,king,boy,raft,ball",6,2
2,"rain,coin,girl,green,eyes,food,bean,book","bean,book,eyes,food,green,girl,food",6,2
3,"dock,room,fire,eyes,week,king,red,day","red,day,week,king,fire,eyes,dock,room",8,0
4,"room,heat,rice,bear,pen,nose,raft,year","year,rice,bear,pen,nose,room,king",6,2
5,"swim,game,meat,sun,word,horn,drum,roof","drum,roof,meat,horn,sun,game",6,2
6,"rain,gray,face,horn,fire,day,lamp,blue","blue,day,lamp,horn,fire,gray,face",7,1
7,"sun,bird,room,lord,book,rain,home,cool","sun,bird,room,lord,book,king",5,3
8,"page,eyes,walk,word,game,queen,time,year","time,year,game,queen,book,lord",4,4
9,"car,jump,eyes,bell,band,wolf,city,cat","car,eyes,jump,bell,band",5,3
10,"home,egg,snow,gray,year,shop,face,heat","face,year,shop,heat,band",4,4
11,"cold,bike,page,wind,egg,raft,corn,coin","corn,coin,egg,raft,cold,bike",6,2
12,"tree,cake,game,city,walk,raft,fish,warm","fish,warm,walk,raft,game,city,bike",6,2
13,"dog,room,nose,raft,sun,park,hill,tree","tree,park,hill,nose,room,green",5,3
14,"horn,run,milk,time,wall,wolf,hill,page","hill,time,warm,wool,walk",2,6
15,"room,sky,rain,corn,swim,door,bear,park","bear,park,swim,door,room,time",5,3
16,"rock,foot,lord,page,game,pink,farm,star","farm,star,game,pink,lord,room",5,3
17,"word,fire,wind,page,snow,food,gray,bean","gray,bean,snow,food,wind,fire,lord,swim",6,2
18,"corn,hill,coin,day,star,city,milk,bear","bear,milk,city,coin,corn,swim",5,3
19,"coin,moon,fish,red,king,week,horn,bear","bear,horn,week,king,red,swim,fish,corn,coin",7,1
20,"hill,cool,lamp,warm,city,pen,run,coin","coin,hill,cool,lamp,warn,pen,run",6,2
