run,shown_words,recalled_words,correct_count,missed_count
1,"card,blue,rock,cat,car,boy,girl,nose","blue,rock,cat,car,girl",5,3
2,"book,time,week,park,card,sky,game,frog","book,time,week,park,sky,game,frog",7,1
3,"hand,wall,boy,book,gold,walk,warm,wind","hand,wall,boy,book,wind,sky",5,3
4,"rice,bear,city,face,soup,wall,home,green","rice,bear,city,face,soup,wall,home,green",8,0
5,"park,red,star,eyes,dog,lord,sky,food","park,red,dog,sky,lord,food",6,2
6,"warm,meat,coin,home,day,card,cat,play","warm,meat,boy,home,cat,play,card",6,2
7,"page,sun,walk,dock,bell,bird,farm,home","farm,home,page,walk,coin",4,4
8,"fish,wolf,frog,shop,warm,boy,door,face","boy,door,face,fish,book,bear",4,4
9,"ship,face,dog,week,milk,girl,game,drum","drum,ship,face,dog,meat,drum",4,4
10,"queen,gift,ship,word,note,gold,door,king","queen,king,ship,word,note,door",6,2
11,"gray,week,salt,wind,horn,tree,meat,card","gray,week,salt,wind,green,card",5,3
12,"sand,swim,king,gold,raft,queen,wall,car","sand,swim,gift,gold,warm,card",3,5
13,"play,week,soup,rice,fish,page,hill,note","play,week,soup,rice,fish,card",5,3
14,"note,week,rain,milk,gold,hour,cool,room","note,week,rain,milk,gold,hour,cool,room",8,0
15,"milk,corn,wood,word,room,ship,warm,pink","milk,word,room,ship,warm,pick",5,3
16,"gift,fire,cat,lion,green,city,lord,band","gift,fire,cat,lion,lord,band,gift,city",7,1
17,"ball,cake,lion,red,word,page,wind,rock","wind,rock,lion,page,wall",4,4
18,"farm,day,road,card,cake,foot,home,town","farm,day,road,card,cake,food",5,3
19,"soup,jump,year,horn,king,girl,heat,boat","soup,jump,year,horn,girl",5,3
20,"milk,raft,food,hill,pink,swim,cake,run","pink,swim,cake,run,roof,raft,king,hill",6,2
