run,shown_words,recalled_words,correct_count,missed_count
1,"tree,raft,milk,green,boat,pink,road,hour","road,hour,milk,green,tree,raft",6,2
2,"week,corn,park,food,band,card,queen,hot","hot,queen,band,card,food",5,3
3,"play,queen,card,hot,bear,moon,home,gift","home,gift,play,queen,hot,card,bear,moon",8,0
4,"sand,park,rock,soup,play,swim,raft,dog","raft,dog,sand,park,rock,soup,play,swim",8,0
5,"swim,roof,milk,wolf,week,rain,walk,corn","walk,corn,wolf,milk,week,rain,swim,roof",8,0
6,"wood,week,word,port,lion,pen,game,blue","game,blue,lion,pen,word,port",6,2
7,"egg,foot,horn,bean,meat,song,day,note","note,day,bean,hot,meat,song,foot,egg",7,1
8,"girl,fire,song,port,heat,park,bird,cool","cool,bird,girl,fire,song,port,park,burn",7,1
9,"page,warm,food,pink,roof,sky,dog,foot","dog,foot,roof,sky,pink,food,page,warm",8,0
10,"word,eyes,town,ship,note,nose,red,song","red,song,town,ship,note,nose,word,eyes",8,0
11,"city,wood,park,card,game,book,shop,rice","shop,rice,game,book,park,card,city,wood",8,0
12,"star,king,eyes,road,car,drum,park,meat","star,king,eyes,road,park,meat,car,drum",8,0
13,"egg,run,drum,soup,ring,game,girl,hot","ring,hot,game,girl,egg,run,soup,drum",8,0
14,"frog,road,salt,corn,book,week,roof,wood","wood,roof,book,frog,road,salt,corn,week",8,0
15,"wood,port,song,pink,word,girl,sun,nose","pink,girl,song,nose,wood,port",6,2
16,"door,bear,rice,swim,salt,ship,wall,king","king,wall,door,bear,ship,salt,rice",7,1
17,"rock,card,pink,gift,play,week,gray,bike","play,week,gray,bike,rock,card,pink,gift",8,0
18,"bean,gold,blue,park,wolf,wood,hand,heat","hand,wolf,wood,warm,bean,gold,blue",6,2
19,"fire,game,rock,lord,dock,car,heat,bear","dock,car,heat,bear,fire,game,rock",7,1
20,"salt,frog,raft,nose,bell,car,book,ring","ring,book,car,raft,frog,salt,nose,bell,ring",8,0
