run,shown_words,recalled_words,correct_count,missed_count
1,"note,room,home,ring,sun,town,cat,cool","home,ring,sun,town,note,room",6,2
2,"bear,face,fish,meat,shop,horn,roof,bird","bear,face,roof,bird,fish,meat",6,2
3,"band,bean,gift,hour,hand,pink,fish,walk","fish,walk,band,bean,gift,hour",6,2
4,"ring,jump,green,roof,ship,book,food,snow","green,roof,ship,book",4,4
5,"face,ball,sand,room,fish,roof,rice,shop","fish,roof",2,6
6,"card,bean,foot,gold,jump,year,book,boy","jump,year,foot,face,fish",3,5
7,"meat,pink,boy,sun,queen,hot,gift,star","queen,hot,star,pink,meat,boy",6,2
8,"pink,town,door,bird,heat,band,eyes,corn","corn,eyes,heart,gold",2,6
9,"hot,hand,wind,page,gold,star,egg,cold","egg,gold,star",3,5
10,"rice,room,drum,coin,king,gold,home,heat","home,room,heat,king,gold,rice",6,2
11,"snow,tree,cool,soup,lord,food,book,wood","cold,soup,food,king,snow,tree",4,4
12,"eyes,rain,game,farm,blue,week,bell,warm","blue,farm,rain,game",4,4
13,"king,room,frog,page,book,soup,cool,gift","soup,king,room",3,5
14,"coin,corn,wood,farm,road,jump,wind,song","wood,farm,road,jump",4,4
15,"cat,fish,lamp,blue,gift,cake,green,wood","gift,wood,green,blue",4,4
16,"egg,lion,song,gift,hand,jump,note,queen","gift,hand,lion,song",4,4
17,"ship,egg,hour,town,raft,farm,cold,star","cold,star,time,farm,egg,raft,wood,ship",6,2
18,"town,book,star,page,roof,note,play,swim","swim,play,roof",3,5
19,"boy,cool,lamp,swim,door,play,milk,word","door,play,cool,boy,milk,word",6,2
20,"home,jump,lord,bell,door,milk,band,wolf","wolf,song,door,milk,jump,home",5,3
