run,shown_words,recalled_words,correct_count,missed_count
1,"drum,hand,dog,fire,pen,shop,bird,snow","hand,dog,fire,snow,shop",5,3
2,"snow,pen,band,day,time,hill,dock,park","snow,day,park,dog,hill",4,4
3,"face,bell,road,pen,card,farm,boat,girl","gril,face,card,road",3,5
4,"cold,run,moon,dog,book,swim,horn,green","cold,swim,moon,dog,book",5,3
5,"queen,ring,shop,lord,note,lamp,hill,foot","queen,hill,lamp,foot",4,4
6,"jump,gray,soup,week,face,ship,hill,town","jump,soup,hill,town,face",5,3
7,"raft,book,hot,snow,king,walk,rock,queen","queen,walk,hot,snow",4,4
8,"bike,rain,gray,salt,dog,sand,meat,time","bike,rain,gray,salt,time",5,3
9,"car,book,meat,cat,run,raft,lord,ring","lolord,ring,raft",2,6
10,"horn,town,ship,eyes,cool,food,hill,sand","eyeeyes,cool,food,hill,sand",4,4
11,"road,soup,bell,roof,horn,dog,foot,drum","road,soup,bell,horn",4,4
12,"fire,swim,book,moon,egg,car,tree,warm","fire,swim,book,moon",4,4
13,"ball,game,ring,city,play,eyes,lamp,day","city,play,eyes,lamp,day",5,3
14,"sun,sky,word,green,car,rain,star,run","sun,run,fire,car,sun,fire,car,run",3,5
15,"lord,girl,sand,meat,rice,heat,green,day","lord,sand,day,green",4,4
16,"park,queen,gift,boat,eyes,wall,door,heat","park,door,park,heat,eyes",4,4
17,"park,time,swim,home,door,room,week,boy","boy,week,home",3,5
18,"roof,bell,hot,blue,wood,drum,rice,road","rice,blue,hot",3,5
19,"book,gray,tree,lord,city,hour,town,fire","book,lord,fire,hour,town",5,3
20,"word,cold,bird,book,king,car,lion,red","woword,cold,bird,book,king,car,lion,red",7,1
