trial,sequence,response,correct,total,proportion,extra
1,"8,2,4,3,1,8,9,6","8,2,4,3,1,8,9,6",8,8,1.0,[]
2,"8,4,2,3,8,3,3,1","8,4,2,3,8,3,3,1",8,8,1.0,[]
3,"3,6,6,1,1,6,6,5","3,6,6,1,1,6,6,5",8,8,1.0,[]
4,"2,2,6,4,7,7,0,0","2,2,6,4,7,7,0,0",8,8,1.0,[]
5,"2,9,6,1,1,6,8,3","2,9,6,1,1,6,8,3",8,8,1.0,[]
6,"4,4,0,6,5,8,0,3","4,4,0,6,5,8,0,3",8,8,1.0,[]
7,"2,3,0,1,0,7,2,7","2,3,0,1,0,7,2,7",8,8,1.0,[]
8,"2,7,3,5,4,9,0,2","2,7,3,5,4,9,0,2",8,8,1.0,[]
9,"4,4,7,2,8,1,3,4","4,4,7,2,8,1,3,4",8,8,1.0,[]
10,"7,5,8,1,2,1,6,1","7,5,8,1,2,1,6,1",8,8,1.0,[]
11,"2,8,0,0,6,5,9,7","2,8,0,0,6,5,9,7",8,8,1.0,[]
12,"6,1,9,0,4,6,7,6","6,1,9,0,4,6,7,6",8,8,1.0,[]
13,"7,7,0,6,1,3,8,8","7,7,0,6,1,3,8,8",8,8,1.0,[]
14,"1,0,3,3,5,1,2,9","1,0,3,3,5,1,2,9",8,8,1.0,[]
15,"7,9,9,5,4,1,1,6","7,9,9,5,4,1,1,6",8,8,1.0,[]
16,"9,9,8,5,7,1,8,5","9,9,8,5,7,1,8,5",8,8,1.0,[]
17,"4,0,8,7,1,0,6,5","4,0,8,7,1,0,6,5",8,8,1.0,[]
18,"8,1,5,6,4,8,5,3","8,1,5,6,4,8,5,3",8,8,1.0,[]
19,"7,4,6,4,1,7,9,1","7,4,6,4,1,7,9,1",8,8,1.0,[]
20,"2,7,8,0,0,9,4,8","2,7,8,0,0,9,4,8",8,8,1.0,[]
