ball, book, tree, game, star,
fish, bird, frog, rain, snow,
fire, wind, rock, sand, wood,
door, wall, roof, room, lamp,
hand, foot, face, eyes, nose,
milk, rice, cake, soup, corn,
ship, car, bike, road, park,
song, bell, drum, horn, band,
gold, ring, coin, gift, card,
home, farm, town, city, shop,
play, jump, run, walk, swim,
blue, red, pink, gray, green,
king, queen, lord, girl, boy,
cat, dog, lion, bear, wolf,
moon, sun, star, sky, hill,
book, page, note, word, pen,
salt, meat, bean, egg, food,
time, day, week, year, hour,
cold, warm, hot, cool, heat,
ship, boat, raft, port, dock
